label,position,gender,offenseLevel
grand,before,,
Fieffé,before,,
Satané,before,,
petit,before,,
Vieux,before,M,
Vieille,before,F,
écervelé,after,,
périmé ,after,,
moisi,after,,MAX
défraîchi ,after,,MAX
mou,after,M,
molle,after,F,
coulant ,after,,
hésitant ,after,,
irradié ,after,,
nucléaire ,after,NEUTRAL,MAX
récalcitrant ,after,,
usagé ,after,,MAX
biscornu ,after,,
puant,after,,
vérolé ,after,,
humide ,after,NEUTRAL,HIGH
poussiéreux ,after,,HIGH
dégoulinant ,after,,
couinant,after,M,
suitant,after,,VERY_HIGH
glorieux,before,,
déplumé ,after,,
empaillé ,after,,
magique,after,NEUTRAL,
lyrique,after,NEUTRAL,
désopilant,after,,LOW
luxuriant,after,,LOW
poilu,after,,MEDIUM
moulu,after,,MEDIUM
cuit,after,,
mollasson,after,,HIGH
paresseux,after,,
énergique,after,NEUTRAL,
prolifique,after,NEUTRAL,
bavard,after,,
chauve,after,NEUTRAL,
velu,after,,
flétri,after,,
frit,after,,
fondu,after,,
cocu,after,,
inutile,after,NEUTRAL,
fou,after,M,
folle,after,F,
dégénéré,after,,
pileux,after,,
rebondi,after,,
redondant,after,,
fossilisé,after,,
joueur,after,,
sous ecsta,after,NEUTRAL,
putride,after,NEUTRAL,
incontrôlable,after,NEUTRAL,
révolté,after,,
incendiaire,after,NEUTRAL,
incandescent,after,,
malin,after,M,
maligne,after,F,
futé,after,,
scintillant,after,,
dodu,after,,
fatigué,after,,
vif,after,,
grincheux,after,,
satanique,after,NEUTRAL,
buté,after,,
enthousiaste,after,NEUTRAL,
raté ,after,,
scandaleux,after,,
zinzin,after,NEUTRAL,
maniaque,after,NEUTRAL,
coquet,after,,
doré,after,,
précieux,after,,
fantasque,after,NEUTRAL,
déprimé,after,,
pleureur,after,,
plaintif,after,,
charismatique,after,NEUTRAL,
fantasmagorique,after,NEUTRAL,
bigleux,after,,
fascinant,after,,
boîteux,after,,
passif,after,,
contrarié,after,,
lunatique,after,NEUTRAL,
solaire,after,NEUTRAL,
coincé,after,,
mignon,after,,
hautain,after,,
arrogant,after,,
dédaigneux,after,,
acharné,after,,
célèbre,after,NEUTRAL,
surdoué,after,,
patient,after,,
iridescent,after,,
pailleté,after,,
notoire,after,NEUTRAL,
élégant,after,,
éloquent,after,,
indiscret ,after,M,
indiscrète,after,F,
chétif ,after,,
à lunettes,after,NEUTRAL,
ultracrépidarien,after,,
potelé,after,,
relou,after,,
hypertrophié,after,,
bouffi,after,,
pédant,after,,
pétomane,after,NEUTRAL,
courtois,after,,
romantique,after,NEUTRAL,
astucieux,after,,
optimisé,after,,
optimiste,after,NEUTRAL,
défaitiste,after,NEUTRAL,
fataliste,after,NEUTRAL,
interrogateur,after,M,
interrogatrice,after,F,
douteux,after,,
louche,after,NEUTRAL,
circonspect,after,,
dubitatif,after,,
étrange,after,NEUTRAL,
bizarre,after,NEUTRAL,
bizzaroïde,after,NEUTRAL,
purulent,after,,
mafieux,after,,
de Paimpol,after,NEUTRAL,
ridé,after,,
deshydraté,after,,
inconscient,after,,
illégitime,after,NEUTRAL,
mythomane,after,NEUTRAL,
sournois,after,,
frimeur,after,,
stupide,after,NEUTRAL,
imbécile,after,NEUTRAL,
incohérent,after,,
miteux,after,,
pourri,after,,
véreux,after,,
momifié,after,,
brillant,after,,
tuméfié,after,,
triste,after,NEUTRAL,
espiègle,after,,
Cucurbitacé,after,,
Invertébré,after,,
Troglodyte,after,NEUTRAL,
barbare,after,NEUTRAL,
poisseux,after,AUTO,HIGH